Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Gender Inequality Index,Inflation,Population,GDP,Cluster
Myanmar,Southeastern Asia,4.307,0.27108,0.70905,0.48246,0.44017,0.479,4.13662553684723,51089060,59687373958.2574,1
Georgia,Central and Eastern Europe,4.297,0.7419,0.38562,0.72926,0.40577,0.283,5.88676636692844,3791571,13993546732.4726,1
Malawi,Sub-Saharan Africa,4.292,0.01604,0.41134,0.22562,0.43054,0.579,20.5346585402693,17085585,6373201160.03248,1
Sri Lanka,Southern Asia,4.271,0.83524,1.01905,0.70806,0.53726,0.376,0.821478502513571,21729974,80611989527.2158,0
Cameroon,Sub-Saharan Africa,4.252,0.4225,0.88767,0.23402,0.49309,0.555,0.179147100009175,22763419,30916218544.4404,1
Bulgaria,Central and Eastern Europe,4.218,1.01216,1.10614,0.76649,0.30587,0.206,2.20583991891108,7177516,50199117547.0415,0
Angola,Sub-Saharan Africa,4.033,0.75778,0.8604,0.16683,0.10384,0.52,-4.01764771604705,28157801,102962245246.708,1
Mali,Sub-Saharan Africa,3.995,0.26074,1.03526,0.20583,0.38857,0.607,2.78634532693056,18593022,13100058099.804,1
Uganda,Sub-Saharan Africa,3.931,0.21102,1.13299,0.33861,0.45727,0.527,5.00445654188191,37531444,27059447774.6626,1
Senegal,Sub-Saharan Africa,3.904,0.36498,0.97619,0.4354,0.36772,0.505,0.314342690251237,14593336,13640668374.1652,1
Gabon,Sub-Saharan Africa,3.896,1.06024,0.90528,0.43372,0.31914,0.524,-9.65763040149099,2040990,14262032470.9041,1
Niger,Sub-Saharan Africa,3.845,0.0694,0.77265,0.29707,0.47692,0.609,0.920436124441636,19939497,7217666360.69521,1
Cambodia,Southeastern Asia,3.819,0.46038,0.62736,0.61114,0.66246,0.486,1.2632964145261,15623253,18049954289.4229,1
Madagascar,Sub-Saharan Africa,3.681,0.20824,0.66801,0.46721,0.19184,0.574,7.55138309280035,25426704,9744243420.48073,1
Chad,Sub-Saharan Africa,3.667,0.34193,0.76062,0.1501,0.23501,0.671,-8.09278474614047,14647625,10888798113.7866,1
Guinea,Sub-Saharan Africa,3.656,0.17417,0.46475,0.24009,0.37725,0.609,2.82194578970258,11767077,8767143622.83101,1
Burkina Faso,Sub-Saharan Africa,3.587,0.25812,0.85188,0.27125,0.39493,0.577,-3.07342722420337,18777488,10419303761.3524,1
Afghanistan,Southern Asia,3.575,0.31982,0.30285,0.30335,0.23414,0.665,2.43201733027227,33831765,19215562179.0117,1
Rwanda,Sub-Saharan Africa,3.465,0.22208,0.7737,0.42864,0.59201,0.4,0.084019492522259,11640027,8261034257.63248,1
Benin,Sub-Saharan Africa,3.34,0.28665,0.35386,0.3191,0.4845,0.649,0.0750300316441468,11360681,8290986804.45245,1
Burundi,Sub-Saharan Africa,2.905,0.0153,0.41587,0.22396,0.1185,0.499,4.8568887708289,11047580,3066681386.73841,1
Togo,Sub-Saharan Africa,2.839,0.20868,0.13995,0.28443,0.36453,0.578,3.63423873417349,7663199,4087628275.95594,1
